	gram_1	Freq
0	handful	9
1	authority	398
2	debt	5
3	womens	15
4	coauthor	3
5	wayne	9
6	expulsion	3
7	export	7
8	porras	3
9	superior	381
10	fifth	5
11	low##anxiety	4
12	journal	59
13	applicable	67
14	innovation##blocking	5
15	endemic	4
16	landy	3
17	revitalization	3
18	simple	127
19	development	1612
20	unit##level	61
21	geoclimatic	4
22	falls	4
23	verify	25
24	weather	8
25	destination	3
26	marshall	4
27	wi	7
28	relentless	4
29	gradient	3
30	well	48
31	leadership##related	48
32	patient##oriented	3
33	contemplate	6
34	island	3
35	sociopolitical	12
36	religiosity	4
37	bi##factorial	4
38	stereotype	75
39	hitler	13
40	definable	3
41	tone	26
42	angle	7
43	evoke	69
44	criminal	3
45	store	42
46	hierarchy	214
47	boston	4
48	americans	89
49	latest	9
50	passage	8
51	kernberg	7
52	washington	6
53	indian	16
54	workforce	63
55	abstract	65
56	august	5
57	confuse	13
58	vacuum	20
59	legitimize	12
60	eader	18
61	disruptive	8
62	sample	574
63	powerinfluence	3
64	quid	7
65	affectional	5
66	deception	3
67	social	3322
68	financial	125
69	overall	57
70	low##relationship	21
71	levinsons	11
72	backfire	3
73	plain	4
74	fraternity	8
75	attenuate	12
76	peripheral	12
77	way	602
78	succumb	8
79	idiosyncratic	30
80	zhang	3
81	lateral	26
82	hart	3
83	khomeini	5
84	pain	9
85	shortage	17
86	lofty	9
87	varying	9
88	barry	6
89	acuity	14
90	peril	3
91	crisis	141
92	coincidence	3
93	elderly	4
94	punitive	20
95	generact	3
96	postmodern	4
97	emphaseze	116
98	intrusive	5
99	fetter	27
100	nonredundant	7
101	demand	363
102	dutiful	3
103	multivariate	18
104	uncreative	4
105	awareness	101
106	allow	138
107	realist	11
108	predefin	6
109	temporal	54
110	marion	5
111	gamma	3
112	toll	4
113	ordinary	22
114	adolf	4
115	responsibility	924
116	opportunism	3
117	cross##fertilization	3
118	globe	10
119	weiss	4
120	coherent	41
121	thrust	7
122	hospitality	28
123	inevitability	5
124	reformulation	3
125	hawkins	7
126	reciprocal	90
127	persevere	5
128	non##conscious	3
129	sincerity	21
130	morbach	7
131	trainee	33
132	dilemma	58
133	governmental	12
134	gill	3
135	alternative	296
136	classification	111
137	nice	4
138	unfavorable	44
139	kahn	23
140	self##report	104
141	xs	9
142	asymmetry	13
143	wade	3
144	unnecessary	27
145	warning	7
146	marlowe	3
147	nonprofit	15
148	sternberg	4
149	fuller	15
150	structuralistic	7
151	presidential	76
152	goodson	4
153	hyper##core	6
154	front##line	22
155	first	219
156	cremer	10
157	affiliation	49
158	consult	33
159	diagnose	21
160	couch	3
161	endow	13
162	multitude	14
163	experiment	188
164	trend	93
165	iran	6
166	emotive	5
167	noise	14
168	skilled	11
169	hand	328
170	conclude	251
171	critique	48
172	win	42
173	authoritarianism	32
174	monograph	5
175	transparency	23
176	goodman	3
177	canada	11
178	covary	11
179	york	13
180	out	650
181	usable	7
182	lesser	32
183	brainstorm	12
184	misattribution	4
185	impressive	17
186	approval	42
187	depletor	3
188	mimic	5
189	affection	14
190	vitality	3
191	fuzzy	8
192	antiprototypic	6
193	saga	8
194	sociological##symbolic	10
195	merenda	4
196	boring	4
197	multi##level##analysis	4
198	groupy	5
199	builder	4
200	mode	58
201	granting	3
202	sort	48
203	arnold	10
204	provoke	12
205	perfect	18
206	manufacturer	6
207	sensibility	3
208	adjust	41
209	soviet	17
210	gene	20
211	sternbergs	3
212	loafing	30
213	aggressive	59
214	desire	413
215	detach	3
216	impede	20
217	regulator	3
218	apparatus	4
219	experimentation	18
220	resultant	13
221	inconceivable	3
222	substitu	4
223	override	8
224	nomination	11
225	schein	48
226	visualize	7
227	foremost	11
228	self##leadership	74
229	bale	7
230	mandate	18
231	press	98
232	opinion	163
233	mastering	3
234	national	190
235	proceedings	3
236	lose	88
237	leone	4
238	mccarthy	3
239	woodwork	6
240	interlock	3
241	relaxation	8
242	recognition	192
243	usi	4
244	famous	18
245	catastrophe	6
246	ulterior	3
247	low##leader	3
248	insist	9
249	deadline	19
250	charis	3
251	threshold	13
252	norm	311
253	ing	9
254	anomaly	4
255	overemphasize	6
256	predictive	137
257	behavior##group	37
258	co##leadership	7
259	automatic	20
260	despair	9
261	discourage	28
262	distrust	25
263	vigilance	10
264	absorb	17
265	moderator	303
266	conducive	55
267	diverge	9
268	meindls	8
269	disparity	11
270	hole	23
271	ruling	9
272	unwillingness	14
273	react	64
274	explanation##charismatic_leadership_theory	4
275	sportsmanship	10
276	convince	21
277	savings	4
278	similarity	230
279	watson	6
280	embody	55
281	settlement	3
282	mold	3
283	resentment	7
284	chance	70
285	northeast	4
286	sibling	3
287	unmotivated	5
288	louis	8
289	bader	4
290	incumbent	33
291	continuation	4
292	ambiguous	85
293	attainable	7
294	guinea	10
295	nutrition	4
296	tutor	4
297	interorganizational	28
298	framework	679
299	tooth	3
300	correct	101
301	analyst	7
302	million	3
303	task	2476
304	yemen	4
305	observer	188
306	omnipotent	8
307	matter	179
308	fellowship	3
309	nahavandi	3
310	congress	9
311	avenue	44
312	attractor	4
313	consistent	627
314	banduras	5
315	economical	3
316	superior##inferior	3
317	educational	222
318	decentralize	14
319	kolb	3
320	mantle	3
321	intimidation	4
322	follow##analysis	3
323	main	269
324	subsidiary	6
325	maintenance	58
326	destruction	10
327	meditation	3
328	odd	8
329	prudence	3
330	encompass	94
331	mix	125
332	constant	49
333	overdue	5
334	ghandi	3
335	speculative	15
336	illusionary	4
337	upper##level##management	6
338	lessen	12
339	detached	3
340	sashkin	8
341	depersonalize	38
342	basic##level	8
343	firm##level	26
344	entrepreneurial	43
345	regional	67
346	inconclusive	22
347	staw	4
348	anita	6
349	stereotyp	10
350	may	9
351	devolve	5
352	unitary	8
353	non##traditional	23
354	non##transformational	7
355	instigate	7
356	einstein	5
357	overwhelming	19
358	indispensable	13
359	planner	3
360	port	4
361	kozlowski	9
362	structure##consideration	131
363	want	34
364	cherulnik	7
365	chaos	26
366	research	469
367	vehicle	23
368	deluga	12
369	legitimate	74
370	previous	442
371	self##awareness	83
372	oxygen	8
373	self##schema	28
374	fiction	5
375	annoyance	4
376	fulfil	58
377	middle	165
378	sustainable	39
379	precious	4
380	hungry	6
381	ear	3
382	step	183
383	irregularity	3
384	disrupt	19
385	relational##historical	3
386	pluralism	7
387	entrainment	4
388	establish	530
389	nonresponsiveness	4
390	antithetical	5
391	evidence##base	20
392	heat	3
393	linguistic	11
394	talk	84
395	carl	4
396	seeker	3
397	direct##participant	6
398	varied	68
399	charters	4
400	innovation##related	24
401	quiet	3
402	explicate	28
403	structuration	14
404	manger	6
405	shuh##der	3
406	polar	3
407	goal_achievement_group_support	27
408	narrate	3
409	eat	8
410	peer##review	3
411	transformational_leadership_theory##creativity	6
412	underlying	217
413	sustainability	24
414	overarch	12
415	mann	43
416	clarity	173
417	bigoness	3
418	breed	9
419	effortful	3
420	hit	7
421	reappraisal	4
422	conglomerate	6
423	opposition	18
424	tyranny	12
425	injustice	7
426	thumb	8
427	chat	4
428	work##unit##level	4
429	worship	4
430	trap	9
431	exemplary	57
432	susceptibility	25
433	dedicated	19
434	warmth	18
435	doctor	20
436	unrealized	4
437	pool	39
438	moderate	615
439	zero	49
440	female	293
441	unstructured	38
442	schmitt	4
443	manner	271
444	advocate	122
445	mandatory	6
446	independent	369
447	significant	6
448	quantitative	127
449	mischel	14
450	appreciation	53
451	knight	3
452	triandis	6
453	alertness	3
454	numerical	6
455	unfamiliar	4
456	carver	3
457	contradiction	24
458	excellent	39
459	i	1190
460	gilbert	5
461	employee##center	7
462	traffic	5
463	gear	7
464	consume	7
465	complex	511
466	symbol	67
467	bound	51
468	milieu	8
469	medicine	15
470	enforce	34
471	genetics	23
472	vessel	5
473	report	836
474	nation	75
475	blanchard	45
476	epistemological	9
477	uniform	14
478	agent	108
479	minister	21
480	interactional	34
481	dare	5
482	garner	26
483	collapse	20
484	low##strain	4
485	sender	50
486	underline	20
487	non##autocratic	11
488	refocus	4
489	cadet	12
490	apparent	110
491	caring	42
492	tradition	85
493	everyone	3
494	in##depth	38
495	biophysical	4
496	vader	4
497	instruction	84
498	mirror	39
499	sponsor	32
500	formation	97
501	instrumental	151
502	rival	18
503	model	4118
504	confront	53
505	mommy	3
506	presume	46
507	god	35
508	remember	25
509	karasek	8
510	supervision	159
511	various	18
512	somers	5
513	conductive	3
514	eating	3
515	atwater	11
516	health##outcome	12
517	dwell	3
518	socio##emotional	32
519	imite	4
520	marginal	9
521	modernization	5
522	functionality	8
523	intra	9
524	leader##follower##vertical_dyad_linkage_theory	3
525	allied	8
526	lifecycle	3
527	vietnam	6
528	dearth	16
529	duty	102
530	bonding	18
531	sceptical	3
532	halo	15
533	carless	4
534	misconception	4
535	tier	9
536	francisco	3
537	savior	3
538	subscale	98
539	missionary	4
540	contracting	4
541	cochrane	3
542	sustain	124
543	self##aggrandizement	27
544	chinese	116
545	depend	503
546	progress	161
547	profiling	4
548	multipersonal	3
549	fellow	35
550	intact	16
551	identity	884
552	subcontractor	9
553	leaderemployee	5
554	align	125
555	latin	6
556	systems	43
557	likerts	4
558	likelihood	102
559	globalize	7
560	mistreatment	3
561	utility	82
562	african	25
563	non##trivial	3
564	april	6
565	criterion##oriented	3
566	fluid	15
567	fu	3
568	reinterpret	5
569	positional	6
570	disconnect	17
571	chronic	31
572	mother	45
573	explain	775
574	curriculum	41
575	follower##leader	137
576	underpinning	5
577	herzbergs	9
578	relational##focus	3
579	winner	12
580	intolerance	7
581	counterproductive	37
582	contradictory	31
583	seniority	20
584	non##profit	6
585	bigley	7
586	insufficient	44
587	industrialization	7
588	mischievous	3
589	jerrys	10
590	delbecq	3
591	infinite	5
592	self##confident	13
593	weber	53
594	sale	93
595	mahathir	6
596	weakness	95
597	foucauldian	3
598	survey	298
599	unexplored	20
600	dysfunction	7
601	composition	70
602	leader##employee	59
603	courage	14
604	democratic	227
605	concerned	199
606	romantic	24
607	decisive	27
608	nding	18
609	alleviate	12
610	inverse	14
611	bureaucratic	71
612	neutral	41
613	piety	5
614	non##similar	3
615	strata	9
616	prerequisite	21
617	destructive_leadership_model	9
618	sayle	4
619	modeling	109
620	comfort	17
621	ms	3
622	prompt	23
623	problem	948
624	rise	104
625	scandura	10
626	mysterious	4
627	membership	203
628	stereotypical	18
629	stay	64
630	enlarge	7
631	trail	3
632	sectional	9
633	resemblance	7
634	military	112
635	accumulate	46
636	atheist	3
637	rosch	3
638	leader##follower##base	5
639	cropanzano	5
640	austrian	23
641	russian	11
642	threat	125
643	heskett	7
644	telecommute	4
645	intelligent	54
646	insistence	3
647	suffer	75
648	emerge	560
649	buffer	16
650	servant_leadership_theory	136
651	organism	9
652	actualize	5
653	spending	5
654	locate	58
655	germany	42
656	scree	3
657	leaderlike	6
658	deployment	6
659	deviance	13
660	regressor	5
661	squad##level	8
662	performance##approach	12
663	peasantry	3
664	computational	16
665	detect	44
666	self##generate	6
667	clerk	3
668	exploitative	9
669	evolution	96
670	reestablish	4
671	outline	73
672	kohut	8
673	indeterminate	3
674	improvisation	6
675	homogeneity	41
676	self##group	6
677	several	139
678	artifactual	7
679	accelerate	13
680	practice	1038
681	exxonmobil	3
682	largest	20
683	macrae	4
684	leader##follower##level	3
685	scholar	311
686	courtesy	11
687	opportunistic	7
688	daunting	4
689	tags	8
690	transactional_transformational_leadership_model	951
691	fuse	5
692	federation	7
693	mentoring	5
694	kabacoff	7
695	labour	14
696	grounds	17
697	reinforce	165
698	oldham	14
699	mountain	4
700	section	85
701	fluency	3
702	achievable	9
703	bateman	4
704	nuclear	40
705	locale	3
706	postal	7
707	tape	4
708	impossible	57
709	fitness	74
710	ity	4
711	recommend	84
712	malta	5
713	special	150
714	expectationsobjective	6
715	number	676
716	rafferty	6
717	occupy	103
718	shepherd	4
719	incite	5
720	confirmation	15
721	cameron	4
722	turkey	10
723	hurdle	5
724	dave	5
725	gratitude	19
726	externalize	4
727	embed	173
728	credite	11
729	preconception	5
730	jacobs	3
731	appealing	67
732	networks	3
733	marker	26
734	groupthink	12
735	remote	12
736	deductive	9
737	discretionary	33
738	action##term	3
739	dyad##level	13
740	tertiary	7
741	deconstruct	7
742	assure	18
743	pay	201
744	alcohol	45
745	utopian	8
746	university	760
747	dozier	5
748	y	79
749	success	481
750	gerhardt	3
751	congruency	15
752	tag	10
753	uphold	14
754	s1	11
755	pit	6
756	linking	6
757	bouwen	3
758	revenue	6
759	pluralistic	7
760	antisocial	8
761	root	99
762	runner	5
763	have	61
764	horton	5
765	technical	129
766	customerporient	4
767	cherish	4
768	denmark	7
769	egypt	5
770	permission	3
771	conger##kanungo	60
772	coding	56
773	broaden	29
774	diplomatic	6
775	disjointed	3
776	teaching	138
777	path	95
778	motivated	225
779	consequential	22
780	self##collective	5
781	strube	4
782	impression	94
783	insensitive	8
784	ferris	27
785	kohuts	3
786	transformational##transactional_transformational_leadership_model##related	4
787	cursory	4
788	blue	4
789	multisource	9
790	psychosocial	15
791	ingratiation	15
792	safety##specific	9
793	positivist	11
794	transaction	87
795	means	3
796	narcissist	17
797	gap	102
798	infant	34
799	smart	7
800	newer	35
801	latham	4
802	matching	12
803	clarification	67
804	frank	9
805	criteria	6
806	transforming	3
807	improvement##center	3
808	solid	23
809	gastil	3
810	scrutiny	24
811	extant	69
812	favorability##leader	17
813	breakdown	15
814	recency	7
815	measure	1586
816	domestic	23
817	unfinished	6
818	instill	15
819	leadership##group	45
820	restore	8
821	resuscitation	31
822	non##verbal	38
823	faction	3
824	earley	7
825	instability	13
826	airport	3
827	deprive	8
828	maccoby	9
829	logo	3
830	native	6
831	distinctiveness	19
832	cycle	61
833	enrich	16
834	conservative	40
835	knowledge	1533
836	regulatory	63
837	lüchow##dannenberg	4
838	job##level	34
839	specic	7
840	tosi	5
841	circumstance	179
842	monte	4
843	fight	12
844	individualist	22
845	aptitude	6
846	non##western	11
847	incapable	3
848	physiological	27
849	rough	5
850	primate	3
851	static	28
852	algorithm	3
853	anothers	6
854	pursuit	80
855	pfeffer	20
856	adoption	85
857	ronen	3
858	active	280
859	zation	3
860	exam	9
861	perpetuation	3
862	remainder	21
863	type	1212
864	r	34
865	macro##level	23
866	kuhnert	4
867	encouragement	75
868	extracurricular	4
869	agle	4
870	friendship	51
871	plausible	53
872	duration	42
873	related	1188
874	sickness	12
875	coercion	16
876	misspecification	3
877	vroom##yetton	39
878	drive	188
879	shelf	3
880	elses	3
881	programmatic	3
882	method	463
883	corroborate	25
884	federal	10
885	legitimacy	51
886	fluctuate	5
887	burke	10
888	rationale	63
889	paint	5
890	believe	501
891	maclean	3
892	heredity	3
893	contrast	489
894	sayles	7
895	tally	3
896	theorize	56
897	rarity	10
898	activation	35
899	downward	23
900	harmonize	3
901	consultative	51
902	glean	4
903	healthful	29
904	divisive	4
905	hollenbeck	4
906	dechurch	6
907	oftentimes	4
908	wide##range	3
909	behaviour	1044
910	offstein	3
911	size	248
912	perceptual	82
913	neuberger	6
914	reicher	5
915	androgynous	4
916	transformational_leadership_theory##related	62
917	twentyone	4
918	historian	8
919	conviction	52
920	kim	15
921	organizational##level##analysis	8
922	distribute	82
923	exist	749
924	hour	6
925	organisational	231
926	perseverance	6
927	causation	10
928	consensus##seek	3
929	paternalism	6
930	kerr	83
931	certain	9
932	resilient	13
933	compliance	141
934	pressured	3
935	in##group##oriented	3
936	bounce	4
937	high##strain	47
938	ty	13
939	decrease	144
940	leader##follower	775
941	horizon	9
942	terrorism	4
943	loaf	6
944	higginss	3
945	mainstream	27
946	discuss	548
