	gram_1	gram_2	Freq
0	social	work	93
1	stress	there	6
2	theory	path##goal_model	3
3	follower	perceive	37
4	extent	resource	3
5	novice	member	5
6	select	develop	4
7	association	include	3
8	team	pass	8
9	organization	performance	14
10	standardize	formalize	4
11	item	scale	13
12	group	function	7
13	activity	leadership	9
14	approach	differ	8
15	process	concern	3
16	leader	overall	4
17	practical	difficulty	3
18	clarity	supervisory	3
19	taxonomy	include	6
20	assign	safety	14
21	commodity	concentrate	3
22	convergence	performance	3
23	successful	leadership	28
24	follower	continue	3
25	role	incumbent	4
26	mediation	mechanism	5
27	problem	face	3
28	role	network	4
29	key	mechanism	4
30	follower	inspire	3
31	opportunity	challenge	7
32	create	usable	3
33	reciprocal	value	4
34	bullying	scenario	3
35	self##report	collect	3
36	express	confidence	21
37	context	characteristic	11
38	issue	address	11
39	sense	commitment	6
40	problem	arise	3
41	order	motivate	3
42	theory	category	16
43	consistent	result	8
44	trait	honesty	3
45	derive	theoretical	3
46	represent	task##oriented	3
47	i	characteristic	4
48	trust	building	45
49	influence	trait	5
50	respective	development	3
51	upshot	follower	3
52	construct	behavior	5
53	role	transactional_transformational_leadership_model	3
54	implication	attribution_theory_leadership	3
55	identity	follower	11
56	related	safety	4
57	relationship	stronger	13
58	influence	superior	5
59	theory	capability	3
60	member	creative	4
61	enable	process	4
62	participant	construe	3
63	theory	servant_leadership_theory	4
64	independent	leader	6
65	trust	encourage	4
66	communicate	follower	8
67	sense	evoke	3
68	tool	develop	5
69	leadership	take	18
70	outcome	behavior	3
71	productive	pursuit	3
72	dyadic	member	8
73	improvement	process	4
74	gross	domestic	10
75	characterize	willingness	3
76	characterise	leadership	4
77	number	refer	3
78	preference	leadership	7
79	co##worker	person	8
80	anonymity	introduce	3
81	leadership	stress	6
82	subordinate	commit	5
83	perception	attitude	9
84	explanation	direct	3
85	process	encourage	6
86	motive	arousal	9
87	essential	link	3
88	construct	study	7
89	interpersonal	leader##follower_theory	4
90	i	argue	13
91	approach	empower	7
92	salience	hierarchy	3
93	leadership	basis	8
94	report	high	9
95	tash	readiness	3
96	employee	offer	3
97	transformational_leadership_theory	consider	3
98	supportive	environment	11
99	establish	school	3
100	characteristic	performance	14
101	influence	extent	3
102	variable	job	17
103	attitude	change	8
104	leader	handle	4
105	explain	follower	6
106	theory	conceptual	4
107	focus	identify	15
108	satisfaction	initiate	4
109	high##level	leadership	3
110	mature	technology	3
111	researcher	interested	14
112	reflect	concern	3
113	performance	survey	3
