	gram_1	gram_2	gram_3	Freq
0	performance	team	organization	5
1	leadership	behavior	perceive	3
2	overlap	leadership	style	3
3	considerate	leader	behavior	14
4	leadership	relationship	organizational	4
5	belong	social	group	3
6	term	group	model	5
7	development	vertical_dyad_linkage_theory	relationship	5
8	human	resource	developmental	9
9	combination	high	low	3
10	leader	communicate	high	4
11	study	real	group	3
12	transformational	leader	work	3
13	discourse	analysis	methodology	3
14	behavior	vary	function	3
15	provide	praise	recognition	4
16	cooperate	generate	define	3
17	perceive	benefit	feedback	3
18	leader	intelligence	experience	3
19	ask	relationship##oriented	relational	3
20	examine	skillful	process	3
21	leadership	training	program	11
22	develop	leadership	adopt	3
23	higher	order	factor	3
24	organizational_outcome	approach	charismatic_leadership_theory	3
25	attachment	style	workplace	3
26	perception	leader	competence	4
27	theory	explain	triad	3
28	provide	reward	exchange	3
29	need	leadership	style	4
30	development	female	leadership	3
31	individual	difference	influence	4
32	occur	people	social	3
33	create	ethical	organization	3
34	non##contingent	satisfaction	relationship	3
35	ethical_leadership_theory	lower##level	ethical	3
36	personal	individual	user	6
37	type	transformational	behavior	4
38	approach	imply	direction	3
39	short	term	result	3
40	role	modeling	leadership	3
41	wide	range	organization	3
42	relationship	develop	dyad	3
43	contrast	transformational	leader	6
44	motivational	construct	manifest	3
45	base	judgment	characteristic	3
46	explain	specific	organizational_outcome	3
47	predict	subordinate	performance	4
48	ohio	state	leader	9
49	nontransactional	laissez##faire	leadership	3
50	influence	employee	service	3
51	relationship	individualize	leadership	6
52	conduct	study	examine	3
53	barley	structurationist	analysis	3
54	lateral	distributive	approach	3
55	organizational	culture	increase	3
56	member	job	satisfaction	3
57	item	represent	individualize	3
58	study	laboratory	experiment	5
59	standard	performance	standard	3
60	report	less	job	3
61	organizational_outcome	knowledge	share	7
62	call	researcher	limit	3
63	inspire	motivate	follower	3
64	support	autocratic	leader	3
65	team	average	level	4
66	interaction	model	disrupt	3
67	graen	offer	transformation	3
68	scale	leader	effectiveness_level	3
69	converge	team	mental	3
70	health	care	sector	5
71	interaction	social	construction	3
72	establish	positive	link	3
73	sense	spiritual	survival	7
74	identification	social	identity	19
75	offer	comprehensive	review	3
76	intent	highlight	key	3
77	leadership	questionnaire	bass	4
78	policy	writing	fit	3
79	provide	additional	insight	4
80	personal	professional	life	4
81	contexts	relational	dynamics	3
82	long	term	effectiveness_level	3
83	motion	transference	model	3
84	culture	enterprise	resource	3
85	team	leader	team	7
86	senior	leader	influence	3
87	behavior	influence	subordinate	3
88	hosking	press	relational	5
89	leadership	review	leadership	4
90	maturity	level	client	4
91	contribution	leadership	theory	3
92	benefit	intensive	ethnographic	3
93	relational	dynamics	people	4
94	finding	positive	relationship	3
95	studies	state	university	179
96	differentiate	group	emerge	3
97	prototypical	leader	prototypical	3
98	work	related	advice	6
99	cope	stressful	situation	3
100	construct	spread	emotional	3
101	behave	respect	develop	3
102	follower	perception	attribution	5
103	refer	passive	leadership	3
104	cognitive	behavioral	depersonalization	3
105	change	subordinate	noncompliant	3
106	variation	result	breakdown	3
107	apply	business	studies	6
108	institutionalize	organizational	ethic	3
109	outside	normal	theory	4
110	detrimental	organizational_outcome	leader	3
111	larger	coordinate	social	3
112	differ	dyad	complex	3
113	issue	specific	knowledge	3
114	large	sample	size	4
115	work	behavior	inclusive	4
116	leadership	type	leadership	4
117	change	need	change	4
118	exemplary	ethical	behavior	6
119	follower	behavior	follower	3
120	evolution	collective	action	6
121	determinant	expectation	enactment	4
122	dyadic	group	organizational##level	3
123	student	academic	social	3
124	team	member	model	3
125	produce	normative	stereotype	3
126	leadership	behavior	support	3
127	resource	commitment	organizational	3
128	leader	leadership	style	16
129	leader	behavior	concern	3
130	group	transformational	leader	4
131	effective	leader	individual	3
132	constellation	personal	characteristic	3
133	perception	leadership	process	4
134	generate	original	solution	4
135	leader	manager	relational	3
136	theory	leadership	reason	4
137	testing	result	omnibus	3
138	younger	manager	rate	3
139	achieve	enterprise	resource	3
140	positive	organizational	context	4
141	access	benefit	relationship	4
142	propose	hierarchical	taxonomy	5
143	test	moderate	organizational_outcome	5
144	leadership	style	derive	3
145	integration	organizational	transformation	3
146	degree	ability	willingness	3
147	individualize	consideration	related	3
148	comparison	match	mismatch	4
149	view	subject	distinguishable	3
150	current	leadership	literature	3
151	help	team	member	4
152	high	competence	commitment	6
153	good	renew	collective	3
154	participative	style	leadership	6
155	collaborator	influence	real	3
156	health	care	industry	6
157	desire	future	state	3
158	behavior	leadership	style	9
159	organizational	culture	structure	3
160	school	improvement	journey	5
161	drive	form	provide	3
162	relationship	address	vertical_dyad_linkage_theory	3
163	power##distance	uncertainty	avoidance	4
164	behaviour	extent	leader	4
165	type	leadership	effective	4
166	social	relationship	network	3
167	level	alcohol	consumption	3
168	transaction	exchange	occur	3
169	intelligence	develop	leadership	3
170	self##concept	extent	individual	3
171	communication	involve	project	3
172	asian	americans	view	3
173	leader	judgment	effectiveness_level	3
174	share	responsibility	leadership	4
175	high	degree	foresight	3
176	earn	stand	eye	3
177	background	i	turn	3
178	occupational	stress	management	3
179	leader	view	leader	3
180	leadership	psychological	safety	4
181	team	member	higher	4
182	self##view	underlying	mechanism	3
183	determine	characteristic	vertical_dyad_linkage_theory	3
184	stem	relationship	serve	3
185	frequency	identification	tag	3
186	identify	react	leader	3
187	behaviour	relationship	behaviour	3
188	evolve	interpersonal	relationship	3
189	theory	present	study	3
190	leader	behavior	mediate	12
191	transformational	leader	facilitate	3
192	climate	agreement	team	6
193	mechanism	leader	trait	5
194	cultural	context	influence	3
195	approach	leadership	transformational_leadership_theory	3
196	transformational_leadership_theory	form	continuum	3
197	satisfaction	help	behavior	3
198	effectiveness_level	generalization	camp	3
199	neglect	focus	process	3
200	recognize	organizational	culture	3
201	benevolent	moral	authoritarian	4
202	style	trait	effective	3
203	define	case	competence	3
204	focus	study	leader	3
205	y	theory	x	3
206	identify	group	member	4
207	change	entity	approach	3
208	adaptive	systems	approach	3
209	manager	spend	time	4
210	firm	corporate	social	6
211	task	feedback	performance	9
212	attempt	produce	unified	3
213	model	describe	process	4
214	antecedent	benefit	cost	3
215	increase	sense	investment	3
216	safety	climate	mediate	3
217	leadership	behavior	transformational	3
218	considerable	job	autonomy	3
219	climate	high	assign	3
220	directive	supportive	behavior	6
221	hold	policy	rule	3
222	range	disagree	agree	3
223	charge	event	occur	3
224	organizational	effectiveness_level	research	75
225	feedback	performance	characteristic	3
226	leadership	approach	assume	3
227	play	prominent	role	4
228	high	growth	need	4
229	open	communication	encourage	3
230	active	management##exception	leader	5
231	affect	relationship	leader	3
232	offer	work	apply	3
233	develop	effective	relationship	8
234	charismatic_leadership_theory	leader	specific	4
235	exist	fulfill	competitive	3
236	leadership	style	trend	3
237	organizational_outcome	subordinate	response	8
238	study	comparative	case	3
239	predict	leadership	behavior	4
240	leadership	reality	leadership	3
241	base	approach	vertical_dyad_linkage_theory	3
242	area	i	ii	7
243	concept	simmelian	tie	3
244	explain	unique	variance	9
245	i	leadership	style	4
246	supportiveness	employee	seniority	4
247	work	motivation	theory	7
248	response	charismatic_leadership_theory	influence	3
249	chain	business	process	3
250	traditional	management	discourse	3
251	job	control	physical	3
252	guideline	future	behavior	3
253	leadership	mental	health	4
254	growth	approach	communication	3
255	lie	context	relationship	3
256	s3	participate	style	3
257	role	situation	context	3
