	gram_1	Freq
0	happen	56
1	scandal	7
2	dream	12
3	various	18
4	revitalize	4
5	cohesive	49
6	pressure	194
7	instigate	7
8	entitle	13
9	weakest	4
10	mathieu	3
11	monetary	8
12	ingratiation	15
13	great_man_theory	16
14	outlook	10
15	simmelian	15
16	persevere	5
17	matching	12
18	unifying	10
19	strategic	356
20	coronary	3
21	career	150
22	humanism	4
23	illness	12
24	impede	20
25	offermann	5
26	outdated	5
27	override	8
28	oversee	3
29	hit	7
30	foresight	25
31	work##base	4
32	androgynous	4
33	set	961
34	football	4
35	buch	7
36	feminine	94
37	illustrative	3
38	coevolving	3
39	non##hierarchical	7
40	blake	4
41	jerry	21
42	residentporient	6
43	centric	15
44	habitual	4
45	authority	386
46	kernberg	7
47	pair	33
48	conscientiousness	85
49	kohut	8
50	minnesota	8
51	likerts	4
52	self##definition	22
53	abegglen	4
54	organizational##level##analysis	8
55	grounding	10
56	strength	291
57	suspend	5
58	insignificant	13
59	politis	6
60	ancient	7
61	lewis	10
62	valuation	8
63	relation	925
64	rigidity	6
65	congruency	15
66	bulk	8
67	classification	111
68	oxygen	8
69	chip	3
70	expense	25
71	imminent	4
72	infrastructural	3
73	avoidance	88
74	e##mail	22
75	blank	11
76	norris	4
77	involvement	209
78	traumatic	3
79	conduct	530
80	bell	6
81	supervisee	30
82	deprivation	6
83	invisible	11
84	chief	36
85	revitalization	3
86	construction	182
87	unified	18
88	collegiality	7
89	superordinate	13
90	catalogue	3
91	recombine	6
92	occurrence	35
93	refer	584
94	background	119
95	octant	52
96	reformulate	10
97	mix	120
98	disagreement	39
99	intend	150
100	detailed	83
101	will	16
102	extremist	12
103	bigger	7
104	summative	4
105	thematic	56
106	class	119
107	anxious	99
108	classify	105
109	aim	226
110	blood	11
111	archival	16
112	positional	6
113	deliverable	5
114	depict	82
115	colleague	248
116	fol	7
117	west	35
118	criticality	3
119	fruitful	21
120	concrete	40
121	viability	14
122	gamma	3
123	self##understanding	3
124	pessimistic	17
125	everyday	31
126	jacobs	3
127	favorable	142
128	punishment	221
129	ease	44
130	repayment	10
131	revert	5
132	recruitment	21
133	robertson	5
134	servant_leadership_theory	136
135	double	29
136	gourlays	3
137	unreliable	8
138	peters	9
139	inflate	19
140	fore	3
141	entrain	3
142	demote	4
143	mobile	5
144	possess	179
145	incongruity	17
146	primacy	10
147	deleterious	9
148	outsource	6
149	work	3916
150	unrealistic	25
151	transcendent	13
152	partition	12
153	resolution	51
154	formance	3
155	anonymous	42
156	representativeness	7
157	pace	15
158	dearth	16
159	recursive	7
160	impairment	6
161	attitude	641
162	impossibility	5
163	soviet	11
164	disturbance	7
165	accommodate	29
166	introspective	4
167	parental	22
168	rarity	6
169	contain	36
170	exxonmobil	3
171	self##concept	327
172	non##job	10
173	wave	20
174	belongingness	8
175	protective	5
176	bar	7
177	medicine	15
178	immune	3
179	request	40
180	changing	31
181	advantage	225
182	attentive	21
183	accountability	61
184	emotive	5
185	estimation	14
186	interorganizational	27
187	truman	3
188	envision	51
189	hour	6
190	extraordinary	68
191	huang	5
192	reinforcement	48
193	dialogue	45
194	cosmos	3
195	organizational	3940
196	presidential	67
197	visualize	7
198	anglo	12
199	articulation	59
200	uhl	53
201	drastic	5
202	professionalism	19
203	mechanic	7
204	actual	258
205	sponsor	32
206	diligent	3
207	vigour	4
208	whittington	4
209	imped	7
210	avol	3
211	cumulate	10
212	alienate	7
213	varimax	3
214	dun	3
215	stabilize	9
216	leadership##level	23
217	stogdills	13
218	socioanalytic	5
219	agent	108
220	transformational	1117
221	weberian	3
222	idiosyncrasy	20
223	helplessness	16
224	altruism	31
225	complement	43
226	generate	370
227	bin	3
228	pure	22
229	parallel	57
230	seashore	5
231	successful	397
232	year	457
233	commonsense	3
234	customerporient	4
235	equal	89
236	dodge	12
237	tie	206
238	record	59
239	allay	3
240	courage	14
241	lockes	4
242	determination	25
243	passivity	10
244	nonzero	6
245	ownership	31
246	homoscedascity	3
247	duality	4
248	krackhardts	4
249	jurisdiction	5
250	continuous	101
251	walker	3
252	younger	83
253	ready	23
254	shaw	17
255	defend	24
256	creator	7
257	steal	5
258	pathway	23
259	probation	7
260	overemphasis	3
261	bodenhausen	4
262	beneficiary	3
263	ideology	55
264	full##blow	3
265	missing	20
266	anderson	27
267	glick	4
268	johannesen	4
269	accentuate	15
270	depressive	34
271	hayes	4
272	projective	7
273	coordination	106
274	kanters	3
275	midwestern	6
276	plausible	53
277	respond	204
278	finkelstein	5
279	install	17
280	worse	25
281	remember	25
282	influence##level	15
283	subject	291
284	dissonance	6
285	dubinsky	13
286	unwarranted	4
287	entrepreneur	46
288	hence	20
289	reason	411
290	candidate	45
291	neuroscience	6
292	somers	5
293	metaproject	4
294	reputational	3
295	curphy	4
296	promise	116
297	fight	12
298	worher	12
299	domination	19
300	ronen	3
301	worldwide	5
302	manifest	118
303	cooperativeness	4
304	exciting	10
305	enforcer	4
306	misspecification	3
307	kuchinke	3
308	netemeyer	4
309	singapore	16
310	deliberation	12
311	eustress	3
312	wrong	51
313	subfactor	11
314	upper	48
315	property	167
316	subscale	98
317	delphi	3
318	fayol	3
319	self##realization	3
320	christal	5
321	scree	3
322	dilemma	57
323	extract	20
324	discount	16
325	pressured	3
326	adaptive_leadership_theory	22
327	location	40
328	synchrony	8
329	well	48
330	skilled	11
331	initiative##base	3
332	naturalist	3
333	compatibility	10
334	dissertation	9
335	suggestion	143
336	oreilly	9
337	sketch	4
338	intercultural	8
339	geographical	11
340	sticker	3
341	adoption	85
342	minimal	40
343	detert	3
344	external	413
345	statistical	106
346	martinko	8
347	expertize	7
348	zohar	11
349	conversational	3
350	widget	5
351	vogue	4
352	21st##century	10
353	act	255
354	ritual	25
355	fundamental	180
356	monozygotic	3
357	experimental	169
358	description	366
359	forego	14
360	detach	3
361	repaid	3
362	masculinity	60
363	self##center	12
364	word	55
365	poss	3
366	building	339
367	malevolent	3
368	administrative	127
369	valenzi	4
370	speech	48
371	reasoning	79
372	slow	17
373	evaluate	262
374	stream	73
375	finite	5
376	parnes	8
377	motivated	214
378	stewardship	60
379	perseverance	6
380	introvert	6
381	humanization	4
382	invalidity	4
383	verbal	47
384	underpinning	5
385	weigh	9
386	keller	12
387	shaper	6
388	correctness	11
389	synchronization	3
390	transactional_transformational_leadership_model##management##exception	3
391	hologram	8
392	zation	3
393	equalitarian	16
