	gram_1	gram_2	Freq
0	state	trust	3
1	communicate	understand	4
2	behavior	argue	5
3	chairperson	perceive	3
4	societal	culture	12
5	context	experience	4
6	organizational	expand	3
7	stronger	relationship	10
8	extremist	group	6
9	depend	circumstance	3
10	superior	performance	20
11	expect	anonymity	4
12	satisfaction	support	4
13	relationship	experience	4
14	approach	increase	7
15	element	influence	3
16	cooperative	group	5
17	mechanism	link	12
18	discussion	purpose	3
19	role	situational	3
20	specific	way	3
21	contribute	characteristic	5
22	purpose	definition	4
23	assume	multiple	3
24	authority	manager	4
25	shamir	colleague	5
26	event	specific	3
27	outcome	offer	4
28	development	share	7
29	seek	follower	7
30	understanding	lead	5
31	social	outcome	4
32	term	refer	13
33	model	show	6
34	leadership	resolution	3
35	develop	researcher	3
36	link	role	3
37	process	share	6
38	role	definition	11
39	leader	manner	3
40	people	choose	6
41	demonstrate	conviction	4
42	leadership	previous	8
43	policy	procedure	29
44	feeling	rejection	4
45	interesting	model	4
46	optimal	performance	4
47	identity	proposition	3
48	factor	organizational	5
49	process	coordinate	3
50	leadership	seek	6
51	role	establish	10
52	standard	employee	3
53	data	model	6
54	rating	suffer	3
55	approach	theoretical	10
56	school	classroom	4
57	implication	theoretical	4
58	human	phenomena	3
59	variety	influence	7
60	hold	constant	3
61	supervisor	style	4
62	wing	liberal	3
63	domain	discourse	9
64	facilitate	learning	3
65	methodology	assume	3
66	leader	react	5
67	perception	influence	23
68	knowledge	attention	3
69	change	meet	4
70	offer	idea	3
71	foster	collective	4
72	managerial	decision	4
73	score	influence	5
74	monitor	environment	5
75	feminine	gender	3
76	role	express	4
77	mechanism	context	3
78	high	stress	9
79	perceive	trustworthy	9
80	financial	reward	5
81	develop	practice	4
82	move	follower	7
83	organization	avoid	5
84	reach	approach	3
85	flexibility	manager	3
86	role	bound	3
87	manager	organisation	4
88	people	time	4
89	related	model	4
90	sake	collectivity	3
91	mediate	interaction	4
92	anonymous	communication	3
93	support	service	8
94	individual	respond	4
95	interaction	performance	5
96	collaborator	change	3
97	problem	behavior	4
98	explain	cascade	3
99	employee	position	4
100	innovation	remain	3
101	endorse	model	3
102	performance	primary	3
103	view	define	3
104	procedure	fair	3
105	examine	culture	5
106	male	employee	3
107	propose	leadership	16
108	apply	organizational	9
109	manage	culture	4
110	difference	function	3
111	aesthetic	concerned	3
112	identity	relational	3
113	facial	cue	5
114	support	general	6
115	need	challenge	3
116	profile	organization	3
117	inequality	influence	3
118	practice	appropriate	4
119	uncertainty	lead	5
120	greater	anxiety	3
121	objective	team	3
122	relevant	develop	4
123	characterize	subordinate	5
124	change	examine	4
125	stress	high	6
126	homogeneity	group	3
127	make	improvement	4
128	motivator	factor	10
129	finding	diverse	3
130	job	behaviour	9
131	subordinate	term	5
132	characteristic	determine	3
133	female	expatriate	3
134	leader	decision	3
135	avoid	conflict	5
136	leadership	evaluation	11
137	researcher	receive	3
138	presence	absence	12
139	participant	perceive	7
140	diversity	collective	3
141	student	university	3
142	promote	change	9
143	employee	retention	3
144	principal	school	7
145	approach	difference	6
146	strong	follower	4
147	structuring	subordinate	3
148	performance	corporate	5
149	intelligence	related	9
150	power	identity	3
151	honesty	fairness	4
152	individual	desire	6
153	set	measure	3
154	depend	develop	3
155	leadership	difficult	4
156	employ	longitudinal	4
157	behavior	situation	17
158	action	develop	4
159	theory	point	4
160	depend	superior	7
161	attention	influence	5
162	fit	criterion	3
163	organization	reflection	4
164	influence	consistent	3
165	researcher	interpersonal	3
166	control	organizational	5
167	compare	trait	4
168	notion	group	4
169	capability	follower	3
170	assessment	student	4
171	desire	increase	5
172	lead	emotional	3
173	deep	commitment	8
174	theory	separate	3
175	achieve	performance	7
176	individual	recognition	3
177	understand	interpret	3
178	reciprocity	relationship	14
179	climate	change	5
180	affect	loyalty	4
181	emergence	leadership	11
182	perception	cognitive	3
183	effective	training	3
184	questionnaire	description	7
185	brown	theory	6
186	seek	idea	3
187	school	capacity	6
188	process	development	14
189	reflect	difference	6
190	help	staff	3
191	practice	relational	4
192	intention	share	12
193	house	shamir	15
194	recommendation	future	10
195	model	undergone	3
196	observation	diary	4
197	approach	share	10
198	collaboration	participatory	3
199	organization	exhibit	3
200	opportunity	woman	5
201	determinant	perception	3
202	negative	member	3
203	lead	participant	5
204	related	bullying	12
205	group	report	9
206	language	emphasize	3
207	conclusion	group	4
208	mediate	factor	5
209	administrator	faculty	3
210	organization	main	7
211	receive	considerable	9
212	worth	note	16
213	firm	focus	3
214	endorsement	leadership	4
215	theoretical	linkage	4
216	moderate	relation	6
217	factor	discrete	3
218	climate	contrast	3
219	contribution	member	5
220	hold	formal	6
221	leader	imply	4
222	integrity	involve	3
223	function	provide	6
224	employee	lose	4
225	development	member	4
226	theoretical	relationship	4
227	situational	leader	17
228	exhibit	style	3
229	value	reality	3
230	social	intelligence	8
231	process	member	7
232	model	offer	12
233	follower	mind	3
234	evidence	experience	3
235	adapt	behavior	14
236	behavior	cultural	5
237	define	specific	3
238	development	help	3
239	main	characteristic	5
240	identity	serve	3
241	model	alternative	6
242	assessment	reflect	3
243	explore	organizational	3
244	lead	change	9
245	partner	organization	3
246	negativity	employee	3
247	related	problem	4
248	value	contribution	10
249	fact	knowledge	3
250	manage	conflict	4
251	application	leadership	3
252	positive	culture	3
253	leader	secure	8
254	lead	clear	4
255	situational	individual	3
256	prominent	role	5
257	business	firm	5
258	organizational	ethical	3
259	point	illustrate	3
260	innovator	adopter	3
261	construct	finding	3
262	sense	experience	7
263	contribution	lead	3
264	further	relationship	3
265	function	process	4
266	neutralize	relationship	3
267	distributive	leadership	4
268	hierarchy	theory	3
269	difficult	recognize	3
270	expose	bullying	5
271	theory	reject	4
272	leader	follower	35
273	leader	regard	8
274	relationship	service	5
275	organisational	behaviour	8
276	integrative	task	3
277	flexible	social	4
278	leader	image	11
279	structural	position	14
280	require	extensive	3
281	researcher	design	3
282	creation	construct	3
283	social	negotiate	4
284	dimension	measure	4
285	turbulent	environment	7
286	department	project	4
287	strategy	leader	9
288	specific	contingent	4
289	autocratic	leader	67
290	examine	trait	5
291	participate	teacher	4
292	group	top	3
293	constraint	human	3
294	achieve	coordination	3
295	leader	involved	12
296	transformational	style	3
297	consider	leadership	13
298	behavior	emphasize	14
299	opportunity	exercise	3
300	employee	absenteeism	3
301	approach	category	4
302	lead	achievement	4
303	separate	size	5
304	operational	strategic	4
305	time	build	3
306	approach	extend	5
307	foster	positive	10
308	learn	improve	5
309	team	employee	4
310	research	support	8
311	perform	essential	3
312	act	subordinate	3
313	member	commit	10
314	construe	response	3
315	automation	electronic	3
316	guidance	leader	5
317	measure	derive	3
318	professional	employee	3
319	personal	competence	5
320	individual	report	31
321	leader	effort	9
322	selection	training	10
323	characterize	increase	3
324	frequent	occurrence	3
325	interdependence	meeting	3
326	value	action	8
327	future	cross	6
328	expectation	high	4
329	discussion	relation	3
330	moderate	control	3
331	confidence	performance	3
332	leader	boost	3
333	issue	follower	5
334	emergent	model	3
335	provide	knowledge	5
336	align	follower	3
337	approach	development	14
338	cultural	characteristic	6
339	construct	component	3
340	member	incorporate	4
341	dyadic	model	3
342	perception	corporate	4
343	factor	understand	5
344	follower	attraction	3
345	relationship	dyad	7
346	composite	measure	9
347	approach	rhetorical	3
348	leadership	key	19
349	identification	entitativity	5
350	power	organizational	3
