	gram_1	gram_2	gram_3	Freq
0	role	relationship	leadership	3
1	personal	relationship	member	3
2	model	interaction	set	3
3	leadership	truth	multiple	3
4	follower	appropriate	direction	4
5	coordinate	adopt	constructivist	3
6	mind	view	approach	3
7	relationship	subordinate	criterion	3
8	anxious	ambivalent	individual	15
9	full	range	theory	7
10	considerate	behavior	focus	3
11	poor	enactment	human	3
12	direction	term	relational	3
13	collaborative	effort	insider	3
14	resource	practice	manager	7
15	historical	cultural	setting	3
16	relationship	trait	leadership	5
17	nature	motivated	instrumental	3
18	leadership	social	psychological	4
19	high	turnover	rate	3
20	cross	sectional	data	6
21	process	center	individual	3
22	representative	group	identity	3
23	problem	structure	group	3
24	hero	myth	focus	3
25	call	entity	consistent	3
26	theory	value	leader	3
27	provide	individual	support	3
28	measure	integration	numerous	3
29	decrease	negative	affect	7
30	race	occupation	leadership	3
31	core	job	characteristic	12
32	leader	reward	behavior	5
33	public	manager	job	4
34	job	complexity	manager	4
35	analysis	data	apply	4
36	prototypical	group	member	6
37	intra	organizational	integration	5
38	theory	propose	leader	3
39	measure	description	questionnaire	6
40	receive	considerable	attention	3
41	group	member	learn	3
42	social	identity	frame	3
43	group	member	identify	9
44	evaluation	regulation	style	3
45	rise	culture	analysis	3
46	interest	good	organization	3
47	promote	collective	welfare	3
48	subordinate	perceive	leader	3
49	approach	operationalize	process	3
50	traditional	management	discourse	3
51	compositional	form	emergence	9
52	learn	performance	product	4
53	distinction	leadership	people	3
54	relational	implication	definition	3
55	like	perceive	similarity	3
56	culture	analysis	combine	3
57	propose	social	identity	3
58	historical	process	move	3
59	limit	ability	capture	3
60	characteristic	patient	care	4
61	actual	manager	implicit	4
62	general	expand	knowledge	3
63	understand	discussion	key	3
64	distinguished	relational	offer	3
65	improve	teaching	learning	3
66	leadership	teacher	motivation	5
67	esteem	locus	control	4
68	characteristic	working	life	28
69	cross	sectional	design	8
70	context	knowledge	creation	3
71	simmelian	tie	interaction	3
72	knowledge	potential	gain	4
73	organizational	individual	span	4
74	mutual	interest	team	3
75	relationship	intend	reflect	3
76	create	knowledge	articulate	3
77	ability	give	suggestion	3
78	identify	social	identity	3
79	focus	leadership	management	3
80	similarity	key	difference	3
81	general	define	behavior	3
82	citizenship	behavior	organizational	11
83	subordinate	dyad	research	3
84	sex	difference	style	3
85	relationship	stronger	high	3
86	intent	leave	nurse	3
87	prevent	negative	diversity	3
88	form	leadership	behaviour	4
89	propose	leader	articulation	3
90	graduate	medical	education	4
91	direct	coaching	support	6
92	relationship	subordinate	receive	3
93	increase	follower	identification	3
94	reality	constant	change	3
95	organizational	development	theory	7
96	assess	extent	leader	4
97	chance	pay	raise	3
98	behavioral	manifestation	generic	3
99	development	team	learning	4
100	anxious	ambivalent	follower	12
101	relational	offer	overarching	3
102	resource	planning	success	15
103	leader	stress	employee	8
104	daily	model	interaction	3
105	group	process	outcome	22
106	team	autocratic	leadership	3
107	leadership	suggest	leader	3
108	opinion	human	resource	3
109	actual	potential	event	3
110	leader	theory	acceptance	3
111	relationship	focal	manager	4
112	appropriate	conduct	promotion	4
113	innovative	school	climate	6
