	2c	3c	4c	5c	6c	7c	8c	9c	10c	11c	12c	13c	14c	15c	16c	17c	18c	19c	20c	21c	22c	23c	24c	25c	26c	27c	28c	29c	30c	31c	32c	33c	34c	35c	36c	37c	38c	39c	40c	41c	42c	43c	44c	45c	46c	47c	48c	49c	50c
0K	0.5993346007604563	0.4103295310519645	0.3076679340937896	0.24635614702154626	0.1864702154626109	0.1909062103929024	0.1617553865652725	0.1391001267427123	0.1215145754119138	0.11216730038022814	0.09949302915082382	0.09489860583016477	0.09252217997465144	0.08887832699619773	0.08903675538656527	0.0779467680608365	0.0779467680608365	0.07572877059569075	0.07366920152091255	0.06859949302915082	0.06479721166032952	0.06543092522179975	0.06289607097591889	0.059727503168567814	0.05846007604562738	0.05243979721166033	0.05180608365019011	0.050063371356147024	0.0470532319391635	0.04657794676806084	0.0470532319391635	0.046894803548795945	0.04562737642585552	0.04594423320659062	0.04261723700887199	0.04166666666666666	0.04340937896070976	0.04356780735107731	0.04515209125475285	0.0470532319391635	0.053390367553865656	0.05576679340937896	0.05925221799746515	0.06051964512040558	0.06653992395437262	0.07192648922686945	0.08032319391634983	0.08935361216730038	0.2503168567807351
1K	0.5850760456273765	0.41983523447401777	0.3379277566539924	0.24984157160963244	0.22195817490494296	0.2056400506970849	0.19122306717363752	0.14686311787072245	0.13719898605830164	0.11628643852978456	0.11343472750316855	0.10171102661596958	0.0985424588086185	0.09315589353612168	0.09077946768060836	0.08586818757921419	0.08111533586818757	0.07953105196451205	0.07842205323193918	0.07319391634980989	0.07065906210392903	0.06828263624841571	0.06527249683143219	0.05956907477820025	0.05956907477820025	0.0552915082382763	0.05449936628643853	0.05449936628643853	0.0552915082382763	0.054340937896070966	0.05418250950570342	0.054340937896070966	0.05291508238276299	0.051013941698352334	0.051330798479087454	0.050221799746514584	0.050063371356147024	0.04832065906210393	0.04832065906210393	0.04784537389100127	0.05164765525982256	0.05766793409378961	0.06210392902408113	0.06273764258555133	0.0673320659062104	0.07050063371356148	0.07461977186311787	0.0882446134347275	0.2449302915082383
2K	0.616128010139417	0.44961977186311786	0.3487008871989861	0.2683776932826363	0.20484790874524714	0.17332065906210392	0.1517743979721166	0.1335551330798479	0.12040557667934093	0.1050380228136882	0.10044359949302917	0.0961660329531052	0.08919518377693282	0.08666032953105196	0.08190747782002535	0.07905576679340938	0.07493662864385298	0.07192648922686945	0.0676489226869455	0.06622306717363753	0.0635297845373891	0.06020278833967047	0.054974651457541185	0.053390367553865656	0.053390367553865656	0.05291508238276299	0.04990494296577947	0.049588086185044365	0.049588086185044365	0.050221799746514584	0.049429657794676805	0.04784537389100127	0.046894803548795945	0.04641951837769328	0.04578580481622307	0.04578580481622307	0.04546894803548796	0.04467680608365019	0.04420152091254753	0.048162230671736375	0.050697084917617236	0.05243979721166033	0.05687579214195184	0.06289607097591889	0.06875792141951838	0.07889733840304182	0.08935361216730038	0.2633079847908745	0.2633079847908745
3K	0.6438529784537389	0.4518377693282637	0.3485424588086185	0.2884980988593156	0.24889100126742714	0.1847275031685678	0.1644486692015209	0.14211026615969582	0.1243662864385298	0.11295944233206592	0.10583016476552598	0.09489860583016477	0.08555133079847907	0.08650190114068441	0.08190747782002535	0.07905576679340938	0.07778833967046894	0.07208491761723701	0.06685678073510773	0.06448035487959443	0.06321292775665399	0.0614702154626109	0.057984790874524725	0.05655893536121673	0.054340937896070966	0.05370722433460076	0.054340937896070966	0.049588086185044365	0.05085551330798479	0.04974651457541191	0.049588086185044365	0.048795944233206594	0.048003802281368815	0.047528517110266164	0.04641951837769328	0.046102661596958174	0.046894803548795945	0.0470532319391635	0.0470532319391635	0.04721166032953105	0.05228136882129278	0.05370722433460076	0.05655893536121673	0.06004435994930291	0.06669835234474017	0.07113434727503169	0.08190747782002535	0.09046261089987326	0.2496831432192649
4K	0.6403675538656527	0.4596007604562738	0.3258871989860583	0.232256020278834	0.2316223067173637	0.17189480354879594	0.14654626108998733	0.14306083650190113	0.13862484157160962	0.12832699619771862	0.11327629911280103	0.10171102661596958	0.0982256020278834	0.09743346007604564	0.094106463878327	0.09014575411913817	0.08586818757921419	0.08222433460076045	0.07858048162230671	0.07525348542458808	0.0738276299112801	0.06875792141951838	0.062262357414448674	0.05846007604562738	0.05750950570342205	0.0552915082382763	0.054657794676806086	0.05275665399239544	0.051489226869455014	0.0511723700887199	0.04974651457541191	0.04895437262357415	0.04847908745247148	0.046894803548795945	0.047370088719898604	0.04657794676806084	0.0470532319391635	0.047528517110266164	0.05386565272496832	0.05861850443599492	0.06162864385297845	0.06479721166032952	0.07287705956907478	0.07351077313054499	0.08285804816223068	0.09600760456273763	0.2764575411913815	0.2764575411913815	0.2764575411913815
5K	0.6288022813688213	0.448510773130545	0.35693916349809884	0.23891001267427125	0.1958174904942966	0.17696451204055766	0.16254752851711027	0.14480354879594426	0.12610899873257286	0.11961343472750315	0.11026615969581748	0.10139416983523447	0.09489860583016477	0.08919518377693282	0.08539290240811154	0.07889733840304182	0.07652091254752852	0.07446134347275031	0.07113434727503169	0.06939163498098859	0.0635297845373891	0.060678073510773124	0.056717363751584274	0.05275665399239544	0.051489226869455014	0.048162230671736375	0.046736375158428385	0.04562737642585552	0.04657794676806084	0.04562737642585552	0.04515209125475285	0.04388466413181242	0.04404309252217997	0.04404309252217997	0.043092522179974654	0.043250950570342214	0.04372623574144487	0.04404309252217997	0.044835234474017736	0.04863751584283904	0.05386565272496832	0.05861850443599492	0.06432192648922687	0.06844106463878327	0.08095690747782003	0.08919518377693282	0.24572243346007605	0.24572243346007605	0.24572243346007605
6K	0.664765525982256	0.4538973384030418	0.3347591888466413	0.2550697084917617	0.2357414448669201	0.1978770595690748	0.17664765525982254	0.15573510773130544	0.1373574144486692	0.11596958174904945	0.10107731305449937	0.09695817490494296	0.08507604562737643	0.08365019011406842	0.07968948035487959	0.07271863117870722	0.06986692015209127	0.06368821292775666	0.06305449936628643	0.060836501901140684	0.05703422053231939	0.054657794676806086	0.05418250950570342	0.04863751584283904	0.0470532319391635	0.045310519645120416	0.04340937896070976	0.04515209125475285	0.04562737642585552	0.04404309252217997	0.044993662864385296	0.044993662864385296	0.04404309252217997	0.04388466413181242	0.04404309252217997	0.042775665399239535	0.04230038022813688	0.042775665399239535	0.043092522179974654	0.0470532319391635	0.04784537389100127	0.0491128010139417	0.05291508238276299	0.058935361216730035	0.061787072243346015	0.06859949302915082	0.07984790874524715	0.2495247148288973	0.2495247148288973
7K	0.6649239543726235	0.470532319391635	0.33174904942965777	0.2869138149556401	0.1923320659062104	0.16682509505703422	0.15621039290240812	0.13403041825095058	0.11787072243346007	0.10757287705956907	0.09426489226869456	0.08951204055766794	0.08602661596958175	0.08460076045627378	0.07826362484157161	0.07636248415716096	0.07303548795944233	0.06939163498098859	0.06448035487959443	0.06368821292775666	0.06194550063371356	0.057826362484157165	0.053390367553865656	0.053231939163498096	0.05196451204055767	0.05228136882129278	0.05228136882129278	0.05038022813688213	0.047686945500633716	0.04863751584283904	0.04847908745247148	0.04784537389100127	0.047686945500633716	0.04990494296577947	0.04832065906210393	0.04832065906210393	0.0491128010139417	0.048795944233206594	0.048795944233206594	0.04847908745247148	0.053073510773130536	0.05608365019011407	0.06051964512040558	0.06638149556400506	0.06859949302915082	0.07842205323193918	0.08713561470215463	0.24524714828897334	0.24524714828897334
8K	0.6229404309252218	0.44185678073510776	0.3033903675538657	0.2701204055766793	0.21039290240811154	0.16666666666666666	0.15747782002534855	0.14036755386565272	0.12658428390367554	0.1091571609632446	0.09648288973384032	0.09109632446134347	0.09077946768060836	0.08539290240811154	0.07921419518377694	0.0776299112801014	0.07541191381495564	0.07240177439797213	0.06907477820025347	0.06543092522179975	0.0635297845373891	0.060678073510773124	0.056400506970849175	0.053548795944233216	0.05228136882129278	0.05291508238276299	0.05212294043092522	0.050063371356147024	0.04895437262357415	0.04863751584283904	0.04847908745247148	0.047370088719898604	0.04721166032953105	0.0470532319391635	0.04594423320659062	0.045310519645120416	0.046261089987325726	0.046102661596958174	0.047370088719898604	0.04784537389100127	0.047686945500633716	0.051489226869455014	0.053548795944233216	0.05655893536121673	0.06448035487959443	0.06749049429657794	0.0779467680608365	0.08697718631178708	0.2541191381495564
9K	0.5990177439797212	0.44961977186311786	0.3257287705956908	0.24889100126742714	0.2385931558935361	0.1923320659062104	0.17870722433460076	0.1525665399239544	0.12975285171102666	0.12262357414448667	0.10202788339670467	0.09315589353612168	0.08285804816223068	0.08365019011406842	0.08079847908745247	0.08048162230671736	0.0776299112801014	0.07303548795944233	0.06939163498098859	0.06606463878326996	0.0635297845373891	0.05719264892268695	0.05608365019011407	0.05212294043092522	0.053073510773130536	0.05212294043092522	0.0511723700887199	0.05053865652724968	0.048795944233206594	0.04832065906210393	0.04974651457541191	0.05038022813688213	0.0511723700887199	0.050697084917617236	0.04990494296577947	0.04990494296577947	0.049588086185044365	0.04927122940430925	0.04974651457541191	0.05053865652724968	0.05766793409378961	0.0594106463878327	0.05988593155893536	0.06368821292775666	0.07081749049429657	0.07192648922686945	0.08048162230671736	0.09141318124207858	0.2598225602027883
