	VSM	LSA
0K	0.5769061970093734	0.5854486101722446
1K	0.34983341088183395	0.4412719910918903
2K	0.39657189309544255	0.4940001357476273
3K	0.36745198801848017	0.40069970886586
4K	0.4675104913838333	0.4789022844612897
5K	0.4684278298419974	0.4820331604096996
6K	0.4286876961664384	0.5170932681819148
7K	0.5321176757148858	0.5612231432496624
8K	0.5256924005459501	0.5521601236754727
9K	0.5222878809717233	0.5390426394342568
10K	0.3688367875725709	0.4050961273490885
11K	0.4603210936784766	0.5227113806654753
12K	0.5890359358098166	0.619369598189853
13K	0.4705979401447619	0.4842849074578053
14K	0.4015394886495937	0.5060338317116438
15K	0.43938261974329257	0.4876322115395082
16K	0.4075322913787563	0.43884631357864096
17K	0.5237340557236445	0.5103166411283289
18K	0.5342351950922231	0.5558120535407955
19K	0.5063944569699406	0.5339436208476814
20K	0.5381009518522226	0.6126553799988521
21K	0.4547399159110934	0.4544137728970392
22K	0.4895218534921965	0.4949635774474836
23K	0.429653686722802	0.5410257809213436
24K	0.337391575116139	0.3914842215479757
25K	0.5470157125041109	0.5591561515978847
26K	0.3763716148741554	0.41231269111692
27K	0.4144721742313123	0.4356281056323155
28K	0.3692831563513817	0.37306664567439496
29K	0.4576992541995737	0.4937660419213589
Mean	0.4583782407882674	0.496146470668477
Std	0.06929100600407795	0.06359059527961729
Err	0.02587368686406505	0.023745118517509756
