	reference	art13	art13v2	dp_dc_e_cv_brown	dp_dc_idf_cv_brown	tf_dp_e_cv_brown	tf_dp_idf_cv_brown
0K	0.3990811153358682	0.45373891001267425	0.4700570342205323	0.4524714828897338	0.4564321926489227	0.44692648922686945	0.4570659062103929
1K	0.4117553865652725	0.4756020278833967	0.48193916349809884	0.4687896070975919	0.4730671736375158	0.46482889733840305	0.4797211660329531
2K	0.37658428390367554	0.4247465145754119	0.4385297845373891	0.4122306717363752	0.42363751584283904	0.4185678073510773	0.42759822560202787
3K	0.35456273764258556	0.41017110266159695	0.42728136882129275	0.4158745247148289	0.417617237008872	0.41096324461343475	0.4171419518377693
4K	0.3637515842839037	0.41254752851711024	0.4225285171102662	0.4152408111533587	0.41777566539923955	0.40953738910012677	0.41238910012674274
5K	0.3719898605830165	0.41460709759188846	0.4117553865652725	0.39923954372623577	0.4032002534854246	0.39638783269961975	0.4149239543726236
6K	0.33301647655259825	0.3681875792141952	0.3754752851711027	0.35963244613434725	0.36581115335868186	0.37119771863117873	0.36755386565272496
7K	0.32984790874524716	0.37658428390367554	0.38102027883396705	0.3737325728770596	0.37563371356147024	0.38070342205323193	0.41112167300380226
8K	0.37515842839036756	0.43789607097591887	0.4423320659062104	0.42870722433460073	0.4336185044359949	0.4234790874524715	0.4431242078580482
9K	0.39749683143219267	0.46245247148288976	0.47195817490494296	0.4597591888466413	0.4641951837769328	0.46546261089987323	0.46482889733840305
Mean	0.37132446134347274	0.42365335868187576	0.4322877059569075	0.4185678073510773	0.4230988593155893	0.4188054499366286	0.4295468948035488
Std	0.02580504265950785	0.03315436871864368	0.03464573533526543	0.03374442896358421	0.03375939116996231	0.030783027628466898	0.030907023964116886
ICl	0.31382724321721067	0.34978082162749474	0.35509219700150807	0.34338053413994435	0.34787824823111424	0.3502165900965314	0.36068175391048857
ICu	0.4288216794697348	0.4975258957362568	0.509483214912307	0.49375508056221024	0.4983194704000644	0.4873943097767258	0.498412035696609
Err	0.05749721812626207	0.07387253705438102	0.07719550895539945	0.07518727321113294	0.07522061108447509	0.06858885984009722	0.06886514089306023
