	Freq
ai	6648
be	6546
man	5965
art	2529
able	2073
war	1540
ali	1539
work	1511
air	1352
land	1170
lay	1117
plan	1094
sign	944
less	934
america	920
people	907
good	876
life	867
press	863
win	858
ship	828
set	823
light	791
city	773
action	770
school	756
develop	744
organ	737
bar	727
child	718
american	703
king	702
unit	700
sea	696
lead	692
mode	669
call	667
play	653
tell	646
public	638
room	622
ask	620
person	617
law	611
organization	598
open	590
line	587
pay	569
problem	568
resident	566
member	563
direct	562
group	556
program	556
build	548
live	544
power	532
class	510
country	508
office	507
bit	503
way	496
bring	489
boy	487
big	485
president	482
cost	480
net	479
view	475
young	475
love	473
service	471
study	463
body	460
characteristic	459
change	458
social	456
question	455
hard	454
woman	451
company	443
reason	441
business	440
position	440
get	438
mind	434
god	432
lock	432
reach	424
value	423
product	420
family	414
care	405
outcome	405
friend	404
mission	400
experience	399
aid	394
development	392
earn	390
train	386
board	385
deal	380
human	379
oil	378
tax	378
begin	376
pain	376
sense	376
organizational	373
organizational_outcome	368
student	362
usa	360
inform	359
model	355
cell	353
style	350
believe	349
individual	349
trial	348
hope	347
wall	345
bear	344
condition	340
actor	335
approach	333
theory	333
appear	332
race	331
wing	331
design	330
issue	330
band	327
control	325
carry	320
mother	319
ability	317
sound	316
bed	314
job	314
college	312
spirit	312
break	311
center	309
century	303
treat	303
manage	302
camp	301
draw	301
history	301
pace	301
agree	300
lean	300
support	300
employ	299
oral	299
death	298
policy	297
black	296
relation	296
receive	294
apt	292
party	292
subject	290
concern	288
education	288
material	287
leader	285
logic	285
path	285
money	282
process	282
society	281
economic	279
stage	278
claim	276
community	276
park	276
learn	275
letter	275
voice	275
effort	274
strong	274
wife	273
information	272
accept	271
common	271
success	271
source	269
political	266
father	264
perform	263
labor	261
plane	260
fight	259
university	259
plant	258
activity	257
anger	255
building	254
surface	254
market	253
available	252
purpose	250
heart	249
situation	249
operation	248
union	246
charge	242
rich	241
back	238
peace	236
modern	235
pressure	233
space	233
depend	232
factor	231
paint	231
collect	230
effective	230
key	230
future	229
machine	229
earth	226
help	226
achieve	225
top	225
german	224
industry	224
evidence	222
moral	222
property	222
military	220
demand	219
share	219
personal	218
science	217
nature	215
washington	215
norm	213
congress	212
equip	211
food	211
apply	210
rule	210
single	210
suit	207
trade	207
measure	206
tradition	206
officer	204
price	204
russia	202
construct	200
element	199
natural	198
phone	197
temper	197
cast	195
club	195
police	195
central	194
ego	193
sex	193
stress	193
blue	192
meaning	192
world	192
reaction	191
trouble	191
civil	190
attempt	189
shop	189
meeting	188
parent	188
standard	188
create	186
defense	185
express	184
raise	183
system	183
volume	183
account	182
attack	181
courage	181
knowledge	181
strength	181
attention	180
decision	180
length	180
reduce	179
assist	178
sell	178
choose	177
bridg	176
catch	176
direction	176
role	176
movement	175
southern	175
writer	175
bank	174
prevent	174
bad	173
bridge	173
training	173
opportunity	172
sport	172
india	171
radio	171
active	170
listen	169
temperature	169
assign	168
buy	168
concept	168
equipment	168
administration	167
bell	167
solution	167
team	167
conduct	166
doubt	166
production	166
progress	166
respect	166
influence	165
medical	165
connect	164
reflect	164
association	163
western	163
plain	162
symbol	162
assume	161
aware	161
command	160
industrial	160
physical	160
recognize	160
communist	159
growth	159
technique	159
commission	158
lend	158
chief	157
desire	157
editor	157
mba	156
performance	156
attitude	155
teacher	155
patient	154
army	153
language	153
soviet	153
attend	152
maintain	152
structure	152
alter	151
normal	151
arrange	150
emotion	150
hotel	150
mention	150
shape	150
adjust	149
dream	148
health	148
manner	147
responsibility	147
season	147
specific	147
block	146
population	146
regard	146
opinion	144
travel	144
advance	143
concerned	143
official	143
warm	143
worth	142
procedure	140
republic	140
male	139
film	138
religion	138
treatment	138
conscious	137
danger	137
justice	137
staff	137
truth	137
director	136
freedom	136
honor	136
appoint	135
authority	135
bright	135
custom	135
distance	135
agreement	134
announce	134
confer	134
faith	134
understanding	134
pair	133
upper	133
election	132
objective	132
region	132
audience	131
wave	131
animal	130
possibility	130
choice	129
relationship	129
worker	129
enemy	128
invest	128
capital	127
forget	127
layer	127
citizen	126
discussion	126
electric	126
balance	125
bird	125
liberal	125
manager	125
safe	125
arrow	124
bound	124
corporation	123
evolution	123
improve	123
mobile	123
technical	123
complex	122
conference	122
speed	122
british	121
council	121
fiscal	120
heavy	120
trust	120
advantage	119
affair	119
professional	119
agency	118
box	118
operate	118
actual	117
attract	117
encourage	117
spread	117
appeal	116
planning	116
democratic	115
energy	115
photo	115
session	115
ample	114
card	114
compare	114
past	114
russian	114
cause	113
construction	113
venue	113
battle	112
contract	112
angle	111
aspect	111
comment	111
native	111
birth	110
indian	110
requirement	110
search	110
urban	110
destroy	109
potent	108
revolution	108
avoid	107
commit	107
stone	107
version	107
creation	106
location	106
management	106
moon	106
arrive	105
minister	105
ordinary	105
status	105
engage	104
fashion	104
soft	104
successful	104
behavior	103
merge	103
signal	103
mix	102
purchase	102
temporary	102
benefit	101
duty	101
earning	101
skill	101
soldier	101
collection	100
credit	100
culture	100
effectiveness_level	100
shift	100
circumstance	99
security	99
adequate	98
assure	98
communication	97
concert	97
famous	97
player	97
ritual	97
stream	97
americans	96
cultural	96
leadership	96
weak	96
willing	96
compose	95
captain	94
employee	94
sample	94
application	93
belong	93
struggle	93
admit	92
baby	91
deliver	91
japan	91
rights	91
warn	91
agent	90
capacity	90
guide	90
perfect	90
review	90
scientific	90
task	90
accomplish	89
appropriate	89
compete	89
lift	89
traditional	89
achievement	88
assistance	88
operating	88
philosophy	88
positive	88
representative	88
speech	88
vehicle	88
resource	87
scholar	87
tension	87
exchange	86
atmosphere	85
capable	85
schedule	85
connection	84
consideration	84
decade	84
define	84
germany	84
ideal	84
impossible	84
recall	84
uniform	84
weather	84
award	83
career	83
dependence	83
telephone	83
appearance	82
classic	82
contain	82
defend	82
potential	82
assignment	81
component	81
gentle	81
maximum	81
narrow	81
budget	80
message	80
origin	80
prefer	80
responsible	80
argue	79
argument	79
bass	79
devote	79
myth	79
platform	79
scale	79
assess	78
beauty	78
profit	77
root	77
brand	76
china	76
combination	76
delight	76
fiction	76
impression	76
personnel	76
practical	76
precede	76
risk	76
membership	75
professor	75
span	75
talent	75
vital	75
automobile	74
background	74
blind	74
candidate	74
interview	74
investigation	74
preserve	74
code	73
commercial	73
consult	73
passage	73
pleasure	73
teaching	73
arrangement	72
brain	72
confront	72
consume	72
depth	72
emotional	72
predic	72
resolution	72
thought	72
aircraft	71
educational	71
electronic	71
female	71
independence	71
oppose	71
proposal	71
screen	71
universe	71
ancient	70
branch	70
chairman	70
conflict	70
contemporary	70
customer	70
dramatic	70
enable	70
height	70
politics	70
preparation	70
protection	70
target	70
trend	70
affect	69
climb	69
edition	69
expert	69
parker	69
passion	69
sexual	69
shadow	69
traffic	69
excellent	68
reasonable	68
relative	68
significance	68
trace	68
victory	68
advise	67
asia	67
friendly	67
interpretation	67
mistake	67
neutral	67
occupy	67
partner	67
predict	67
shoe	67
spiritual	67
approval	66
contribution	66
eliminate	66
employment	66
focus	66
imagination	66
link	66
powerful	66
acquire	65
adjustment	65
boston	65
completion	65
description	65
drawing	65
humor	65
shock	65
unique	65
complain	64
domestic	64
flight	64
institute	64
maintenance	64
superior	64
variable	64
world_war	64
accompany	63
assembly	63
careful	63
competition	63
confidence	63
conversation	63
theme	63
track	63
unusual	63
assert	62
placement	62
revenue	62
afraid	61
blank	61
britain	61
fundamental	61
patent	61
venture	61
afford	60
calm	60
chinese	60
learning	60
proof	60
pure	60
silence	60
transform	60
abandon	59
adult	59
discovery	59
equivalent	59
magic	58
suspect	58
absence	57
alive	57
apparent	57
concentration	57
participate	57
suggestion	57
termination	57
concentrate	56
regime	56
suite	56
childhood	55
ethic	55
pleasant	55
prime	55
probability	55
variation	55
welfare	55
architect	54
channel	54
comparison	54
historian	54
italian	54
plato	54
psychological	54
scientist	54
tendency	54
victim	54
warning	54
administrative	53
advanced	53
amount	53
challenge	53
charm	53
criticism	53
japanese	53
mayor	53
necessity	53
restaurant	53
sake	53
stranger	53
trio	53
abstract	52
advice	52
changing	52
conform	52
creative	52
expansion	52
trait	52
valuable	52
weakness	52
acceptance	51
accident	51
alternative	51
appointment	51
avenue	51
cooperation	51
doctrine	51
loyal	51
peer	51
salary	51
television	51
certainty	50
confuse	50
discipline	50
mood	50
safety	50
sentiment	50
composition	49
conception	49
laboratory	49
organic	49
resistance	49
silent	49
violence	49
calculate	48
category	48
conceive	48
concrete	48
confirm	48
confusion	48
consumer	48
determination	48
engineering	48
illusion	48
intelligence	48
network	48
nomination	48
pride	48
rational	48
remarkable	48
romantic	48
servant	48
universal	48
unknown	48
adapt	47
assistant	47
comparable	47
curious	47
damage	47
environment	47
insurance	47
legislation	47
mystery	47
output	47
satisfaction	47
satisfactory	47
serving	47
visible	47
accuse	46
coach	46
dangerous	46
debate	46
drain	46
emergency	46
lesson	46
marketing	46
mature	46
opposition	46
precision	46
recommendation	46
absorb	45
angry	45
attain	45
emphasize	45
enterprise	45
external	45
identification	45
prayer	45
presentation	45
virtue	45
visual	45
volunteer	45
advent	44
anxiety	44
cognition	44
confused	44
distinct	44
persuade	44
pupil	44
quantity	44
recognition	44
scholarship	44
secure	44
sympathy	44
uncertain	44
younger	44
access	43
alert	43
blame	43
caution	43
contest	43
deserve	43
listening	43
regulation	43
sacrifice	43
substitute	43
technology	43
transportation	43
wealth	43
associate	42
attractive	42
automatic	42
border	42
capture	42
champion	42
compound	42
export	42
gesture	42
harmony	42
legislative	42
occurrence	42
transition	42
conscience	41
eastern	41
maturity	41
participation	41
senior	41
accurate	40
baker	40
consciousness	40
coordinate	40
efficient	40
guidance	40
intense	40
routine	40
territory	40
thrust	40
accuracy	39
bold	39
brass	39
conservative	39
cooperative	39
describe	39
obligation	39
primitive	39
radical	39
reflection	39
resolve	39
scheme	39
spanish	39
species	39
strengthen	39
absent	38
adopt	38
anticipate	38
assemble	38
commander	38
commitment	38
dignity	38
insight	38
joke	38
nurse	38
occupation	38
ohio	38
perception	38
client	37
context	37
healthy	37
medicine	37
outstanding	37
realistic	37
stronger	37
suspend	37
sustain	37
symbolic	37
tremendous	37
admission	36
awareness	36
capability	36
ceiling	36
clinic	36
illustration	36
infant	36
italy	36
morality	36
neglect	36
outlook	36
package	36
satisfied	36
survival	36
authentic	35
belgian	35
canada	35
combat	35
modest	35
phenomenon	35
poland	35
specialist	35
ambition	34
artistic	34
bigger	34
borrow	34
campus	34
employer	34
exclude	34
expectation	34
fault	34
inquiry	34
mixture	34
presidential	34
rigid	34
suspicion	34
translate	34
velocity	34
acknowledge	33
admire	33
audit	33
classical	33
collective	33
complicate	33
designer	33
fragment	33
heading	33
jurisdiction	33
lecture	33
naval	33
politician	33
precise	33
affirm	32
behave	32
bind	32
boss	32
ceremony	32
colleague	32
compel	32
competitive	32
explore	32
illness	32
inadequate	32
initiative	32
listener	32
mirror	32
pastor	32
patience	32
perceive	32
promotion	32
satisfy	32
characterize	31
exclusive	31
extraordinary	31
friendship	31
guarantee	31
inspire	31
manufacture	31
opponent	31
privilege	31
singer	31
valid	31
voting	31
advisor	30
apple	30
boundary	30
complicated	30
convert	30
disaster	30
engagement	30
helpful	30
ignore	30
pioneer	30
unconscious	30
workshop	30
affection	29
anxious	29
assessment	29
breaking	29
bulk	29
delegate	29
dynamic	29
enthusiasm	29
ethical	29
prestige	29
prevention	29
profound	29
recovery	29
reorganization	29
reputation	29
reward	29
sensitivity	29
upward	29
clarity	28
commodity	28
conversion	28
designate	28
diplomatic	28
flexible	28
good_deal	28
installation	28
korea	28
landscape	28
paragraph	28
phenomena	28
productive	28
realism	28
stimulate	28
tangible	28
warmth	28
academy	27
civilian	27
classification	27
climate	27
clinical	27
colonial	27
communicate	27
compromise	27
confident	27
depression	27
dilemma	27
discourage	27
distress	27
loyalty	27
mutual	27
negotiation	27
organism	27
outline	27
retirement	27
utopian	27
voluntary	27
women	27
adhere	26
ambiguous	26
balanced	26
barrier	26
calculation	26
development_program	26
distinguish	26
enthusiastic	26
fifth	26
inherent	26
intermediate	26
merger	26
portray	26
preliminary	26
pronounce	26
pseudo	26
reliable	26
symptom	26
tactic	26
unhappy	26
user	26
verbal	26
bored	25
celebrate	25
clarify	25
competent	25
comprise	25
credible	25
democracy	25
empirical	25
governmental	25
minority	25
obscure	25
painful	25
restore	25
structural	25
succession	25
symbolize	25
topic	25
administer	24
advisory	24
aggressive	24
attraction	24
biggest	24
bounce	24
corporate	24
decisive	24
departure	24
diffusion	24
inspection	24
linear	24
luxury	24
meaningful	24
obey	24
priority	24
qualification	24
realization	24
sanction	24
segregate	24
supervisor	24
template	24
terminate	24
thematic	24
urgent	24
usage	24
alcohol	23
anticipation	23
appreciation	23
availability	23
battery	23
boost	23
cabinet	23
classify	23
classroom	23
curiosity	23
first	23
heroic	23
punishment	23
revolutionary	23
savings	23
strategic	23
unfortunate	23
adolescent	22
alienation	22
align	22
alliance	22
arbitrary	22
asset	22
assurance	22
chronic	22
competence	22
complaint	22
criterion	22
devotion	22
disorder	22
geographic	22
heritage	22
indirect	22
israel	22
oblige	22
physician	22
physiological	22
poverty	22
rigor	22
sampling	22
secular	22
segment	22
strategy	22
theoretic	22
uncertainty	22
behalf	21
buffer	21
collapse	21
cooperate	21
dedication	21
deficiency	21
enjoyment	21
illuminate	21
naive	21
performer	21
prospective	21
psychologist	21
social_economic	21
subordinate	21
theoretical	21
transmit	21
administrator	20
advocate	20
alike	20
applicable	20
australia	20
biological	20
clever	20
compensation	20
conceal	20
criticize	20
discount	20
follower	20
interaction	20
monitor	20
necessitate	20
ordering	20
organize	20
prescribe	20
presume	20
prime_minister	20
qualify	20
revolve	20
shipping	20
strongest	20
systematic	20
transformation	20
violate	20
violation	20
acquisition	19
allocation	19
ambiguity	19
bargaining	19
compatible	19
comprehensive	19
consultant	19
defensive	19
delivery	19
fantasy	19
heed	19
important	19
intuition	19
justification	19
legitimate	19
prejudice	19
projection	19
scandal	19
stereotype	19
suicide	19
supervision	19
