	Freq
ai	9603
be	8023
net	7897
share	6985
man	6322
bank	6062
company	5566
market	4130
price	4121
trade	3996
oil	3780
profit	3601
product	2933
agree	2929
japan	2854
change	2768
export	2760
pay	2749
plan	2537
set	2465
buy	2399
group	2253
able	2225
air	2179
official	2161
unit	1951
art	1946
tax	1922
sell	1875
ali	1817
agreement	1812
exchange	1804
industry	1701
land	1674
ship	1592
tell	1529
production	1528
country	1472
bar	1443
source	1425
earn	1414
america	1369
purchase	1369
get	1366
meeting	1296
war	1290
operation	1263
deal	1255
board	1234
acquire	1216
action	1207
business	1207
growth	1169
lead	1159
common	1135
credit	1131
acquisition	1122
earning	1117
merge	1073
work	1072
issue	1071
security	1065
minister	1060
american	1052
economic	1049
shareholder	1047
cost	1034
sea	1023
money	1020
press	1020
manage	1008
line	989
resident	978
policy	977
sign	976
german	974
compare	965
japanese	964
raise	952
announce	935
deficit	929
develop	923
president	915
capital	906
central	897
organ	897
mission	891
asset	860
canada	840
domestic	829
merger	823
value	809
account	799
commission	794
reduce	790
future	786
demand	775
invest	766
open	761
king	753
chairman	752
service	750
law	749
plant	744
trial	730
adjust	726
union	721
organization	718
ego	716
industrial	714
direct	713
win	709
proposal	708
view	702
output	696
program	688
canadian	687
culture	666
consume	663
role	659
contract	650
member	642
management	636
public	626
employ	624
consumer	615
receive	613
outstanding	601
development	596
energy	595
call	594
ask	586
venue	581
revenue	578
partner	575
control	572
less	571
soviet	570
exclude	568
operating	558
investor	555
lay	555
support	553
charge	552
live	546
comment	545
reach	544
fiscal	543
inflation	532
city	530
australia	526
budget	524
target	514
outcome	503
transaction	501
office	500
china	499
strong	497
reflect	487
usa	481
measure	480
ability	475
system	471
way	470
balance	469
condition	468
position	468
director	466
organizational	464
technology	462
organizational_outcome	458
problem	454
approval	451
good	449
ordinary	448
effective	445
monetary	445
prefer	445
inform	444
association	438
accept	437
baker	432
believe	432
savings	431
wing	429
decision	428
lend	428
british	420
trust	419
germany	417
world	416
key	415
food	414
build	407
improve	405
community	404
information	403
bring	401
agency	400
prime	400
resource	400
hard	399
commit	395
aid	393
commodity	393
western	387
pressure	381
concern	379
congress	378
subject	376
custom	374
banking	369
deliver	367
worth	367
season	365
taiwan	365
council	363
washington	362
actor	359
administration	359
rule	357
confer	356
conference	354
boost	350
property	347
factor	344
available	343
marketing	338
communication	337
discount	333
extraordinary	333
warn	332
operate	329
negotiation	327
commercial	326
theory	326
insurance	324
chief	317
unchanged	317
carry	315
schedule	315
study	314
hope	309
buffer	307
conduct	306
letter	302
back	301
customer	300
power	300
rights	299
begin	297
natural	296
effort	294
venture	293
leader	292
review	289
borrow	287
employment	287
worker	285
sport	284
korea	283
perform	282
benefit	281
lock	280
senior	278
break	277
delivery	275
light	275
bit	273
delegate	271
india	271
structuring	270
restructuring	269
damage	265
life	264
broker	262
institute	262
attack	259
britain	258
reason	256
social	256
corporate	255
maintain	255
capacity	254
rich	254
australian	252
activity	250
turnover	250
authority	248
equip	248
standard	246
characteristic	245
express	245
process	244
help	241
equipment	240
predic	240
predict	240
representative	240
malay	238
alter	237
class	237
protection	237
manager	236
health	235
people	234
big	233
corporation	233
malays	233
malaysia	233
stability	233
situation	232
competitive	229
heavy	229
suit	229
mode	228
cultural	226
shipping	226
cause	225
volume	224
assist	223
attempt	222
southern	222
weather	219
requirement	218
depend	217
pain	217
cast	215
mba	215
block	212
material	210
party	209
buyer	207
courage	207
strength	204
parent	200
question	200
partnership	199
lift	197
guarantee	196
officer	196
convert	195
arrange	194
band	194
bonus	194
progress	194
person	193
performance	192
advance	191
affect	190
session	190
expansion	189
risk	188
commitment	187
electric	187
unemployment	187
building	186
discussion	186
amount	185
care	185
success	185
potent	184
potential	183
bell	182
adjustment	181
design	181
encourage	181
construct	180
wall	179
confirm	178
interview	178
offset	178
package	177
trend	177
colombia	176
italy	176
pace	176
weak	174
political	173
appear	168
arrow	168
norm	168
phone	168
native	167
positive	165
alternative	163
prevent	163
cell	162
claim	162
cooperation	161
outlook	161
assistance	160
associate	160
duty	158
electronic	158
job	158
application	157
spain	156
achieve	154
oppose	154
legislation	153
link	153
normal	153
construction	152
narrow	152
organisation	152
approach	151
telephone	151
television	150
active	149
asia	149
create	149
economic_growth	149
region	149
employee	148
advise	147
bass	146
consideration	145
draw	145
suspend	145
apply	144
competition	144
accounting	143
bear	143
plain	142
enterprise	141
family	141
recovery	140
relation	140
singapore	140
telecommunication	140
temporary	139
card	138
republic	138
willing	136
access	135
eastern	135
center	134
expectation	133
negotiate	133
medical	132
movement	132
resolve	131
voting	131
completion	129
equivalent	129
specific	129
possibility	128
prime_minister	128
sanction	127
anger	126
labor	126
solution	126
camp	125
defense	125
signal	125
top	125
responsibility	123
lean	122
purpose	122
soft	122
train	122
body	121
uncertain	121
avoid	120
fundamental	120
span	119
video	119
network	118
opportunity	118
preliminary	118
contain	117
premium	117
anticipate	116
appoint	116
connect	116
attract	115
concerned	115
editor	115
military	115
regulation	115
successful	115
personal	114
strategy	114
defend	113
individual	113
machine	112
award	111
thailand	111
boston	110
external	110
liberal	109
platform	109
single	109
hotel	108
indian	108
stimulate	108
chinese	107
confident	107
leadership	107
maximum	107
strengthen	107
comprise	106
location	106
consult	105
safe	105
staff	104
stage	104
focus	103
minority	103
child	102
branch	101
ceiling	101
shift	101
stabilize	101
transportation	101
valuation	101
woman	101
pakistan	100
space	100
structure	100
arrangement	99
brand	99
concentrate	99
complain	98
doubt	98
appropriate	97
assume	97
labour	97
technical	97
enable	96
engineering	96
turkey	96
advisor	94
appeal	94
biggest	94
italian	94
recommendation	94
bulk	93
compete	93
adequate	92
malaysian	92
manufacture	91
scale	91
strategic	91
belgian	90
employer	90
attend	89
model	89
speech	88
terminate	88
board_director	85
ohio	85
play	85
spanish	85
unfair	85
refining	84
subordinate	84
team	84
affair	83
certainty	83
component	83
election	83
netherlands	83
stress	83
version	83
advantage	82
calculate	82
adopt	81
combination	81
contribution	81
optimistic	81
stone	81
supplier	81
treat	81
opposition	80
uncertainty	80
upward	80
initiative	79
mature	79
modest	79
assess	78
aware	78
confidence	78
influence	78
participation	78
reaction	78
cabinet	77
termination	77
maturity	76
race	76
advanced	75
bad	75
barrier	75
compromise	75
debate	75
spread	75
stronger	75
collapse	74
danger	74
unique	74
depressed	73
parent_company	73
planning	73
sustain	73
aircraft	72
calm	72
connection	72
objective	72
satisfactory	72
scheme	72
complaint	71
direction	71
fight	71
opinion	71
actual	70
enhancement	70
intermediate	70
obligation	70
park	70
audit	69
centre	69
placement	69
black	68
cooperate	68
logic	68
monitor	68
mutual	68
specialty	68
asian	67
investigation	67
radio	67
restaurant	67
room	67
sow	67
workforce	67
emergency	66
secure	66
sentiment	66
status	66
weakness	66
diversify	65
participate	65
reorganization	65
shop	65
argue	64
competitiveness	64
drain	64
ensure	64
evidence	64
mix	64
portfolio	64
preference	64
reasonable	64
tradition	64
closure	63
temper	63
traditional	63
user	63
acceptance	62
aggregate	62
circumstance	62
gross_domestic	62
nigeria	62
pair	62
complex	61
cooperative	61
eliminate	61
expert	61
outline	61
allocate	60
apt	60
challenge	60
earth	60
